id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
703831579632856836,"Mar da Barra - Conforto, Sol e Praia!",30165706,Yes Temporada,,Barra da Tijuca,-23.011486153901014,-43.36270812604927,Entire home/apt,258,1,0,,,52,276,0,
35764,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98107,-43.19136,Entire home/apt,180,3,408,2022-09-11,2.80,1,0,38,
48305,Bright 6bed Penthouse Seconds from Beach,70933,Goitaca,,Ipanema,-22.98591,-43.20302,Entire home/apt,1636,2,122,2022-09-15,0.87,8,321,37,
13998781,Alugo para olimpíadas 2016,83628764,Isabel,,Recreio dos Bandeirantes,-23.05056,-43.47607,Entire home/apt,750,15,0,,,1,358,0,
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Copacabana,-22.98528,-43.19264,Private room,100,5,45,2022-08-17,0.76,3,0,3,
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,,Copacabana,-22.96574,-43.17514,Entire home/apt,872,2,8,2021-12-10,0.09,1,235,4,
690602232600474303,Apartamento na Orla da praia do Recreio,300820684,Kamila,,Recreio dos Bandeirantes,-23.023547525371487,-43.44880082350062,Entire home/apt,587,4,0,,,2,38,0,
1931599,Apto 5 Stars SHERATON Barra Rio,9999063,Marcus,,Barra da Tijuca,-23.01534,-43.3239,Entire home/apt,389,27,52,2022-01-21,0.51,1,217,4,
53383999,Quartos 4 e 3 em Copacabana,192170777,Catia,,Ipanema,-23.00049,-43.18474,Private room,1000,2,0,,,6,30,0,
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,,Copacabana,-22.9791,-43.19008,Entire home/apt,190,3,127,2022-09-11,1.06,28,180,27,
50759,Casanova Residence great for shoots and events,233554,Felipe,,Barra da Tijuca,-23.00451,-43.30873,Entire home/apt,3050,1,7,2017-01-08,0.08,2,350,0,
39364388,Studio espaçoso no centro de Duque de Caxias,279503448,Deoclecio,,Vigário Geral,-22.79517,-43.30447,Entire home/apt,151,2,25,2022-09-12,0.99,3,39,13,
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,,Copacabana,-22.981731,-43.190571,Entire home/apt,170,3,220,2022-09-18,1.78,2,338,43,
46246165,Apartamento Frente praia no melhor ponto do Leblon,292103490,José Francisco,,Leblon,-22.98898,-43.2267,Entire home/apt,293,2,22,2022-09-19,1.09,1,5,12,
2935539,Flat com vista deslumbrante!!!,14989748,Cleo,,Barra da Tijuca,-23.0113,-43.35767,Entire home/apt,289,2,211,2022-08-15,2.20,1,60,22,
